date,c,w,y,cay=c-0.218 a-0.801y+0.441
1952-03-31,9.1556540884,10.9643718239,8.9796593725,0.0151049319
1952-06-30,9.1711401350,10.9818567342,8.9820861154,0.0248372672
1952-09-30,9.1715980319,10.9784775908,8.9960572608,0.0148400790
1952-12-31,9.2016945323,10.9726876684,9.0260586723,0.0221659845
1953-03-31,9.2096309236,10.9734574885,9.0365619088,0.0215211835
1953-06-30,9.2119469014,10.9738925842,9.0463206797,0.0159252450
1953-09-30,9.2050127674,10.9725099681,9.0394441277,0.0148007265
1953-12-31,9.1936232823,10.9762906307,9.0274548335,0.0121913077
1954-03-31,9.1930344261,10.9837854565,9.0170638996,0.0182928929
1954-06-30,9.2018884145,11.0001860022,9.0160657078,0.0243729346
1954-09-30,9.2107094813,11.0215391010,9.0195419272,0.0257567794
1954-12-31,9.2265831250,11.0273445804,9.0381945630,0.0254240549
1955-03-31,9.2446462125,11.0348100683,9.0461933695,0.0354531586
1955-06-30,9.2595633089,11.0564073458,9.0676902438,0.0284446613
1955-09-30,9.2673407085,11.0708889003,9.0835836488,0.0203354925
1955-12-31,9.2749679574,11.0744546905,9.0934386381,0.0192916004
1956-03-31,9.2724975199,11.0927250558,9.1003856920,0.0072753827
1956-06-30,9.2717277128,11.0916649062,9.1078281721,0.0007748890
1956-09-30,9.2693038308,11.0861976806,9.1064284729,0.0006634742
1956-12-31,9.2779929520,11.0966775426,9.1184046015,-0.0025241662
1957-03-31,9.2804820378,11.0907212144,9.1174325101,0.0020414294
1957-06-30,9.2781192776,11.1049157176,9.1188232991,-0.0045282568
1957-09-30,9.2815191226,11.0893443713,9.1173644318,0.0034330491
1957-12-31,9.2774138817,11.0879797669,9.1085245001,0.0067062341
1958-03-31,9.2597671624,11.0904142363,9.0865049333,0.0061674996
1958-06-30,9.2641458224,11.1028707404,9.0888073430,0.0059876886
1958-09-30,9.2762825998,11.1247090139,9.1112788191,-0.0046343284
1958-12-31,9.2851865040,11.1355024043,9.1229235075,-0.0074100057
1959-03-31,9.2990184818,11.1347349954,9.1294197648,0.0013854570
1959-06-30,9.3104597427,11.1438757472,9.1421344560,0.0006501225
1959-09-30,9.3165642227,11.1384415389,9.1333307294,0.0149907574
1959-12-31,9.3132973366,11.1444905068,9.1352072881,0.0089026666
1960-03-31,9.3169670834,11.1414102530,9.1446741925,0.0056602557
1960-06-30,9.3234499943,11.1418096444,9.1446672654,0.0120616917
1960-09-30,9.3144568103,11.1290486846,9.1405301832,0.0091629529
1960-12-31,9.3117994854,11.1454750020,9.1349667918,0.0073829485
1961-03-31,9.3080538372,11.1642433711,9.1388392415,-0.0035541263
1961-06-30,9.3189937024,11.1734975790,9.1511544456,-0.0044955746
1961-09-30,9.3196598277,11.1809520088,9.1597204829,-0.0123153951
1961-12-31,9.3353373272,11.1996689446,9.1728094306,-0.0112008487
1962-03-31,9.3423037746,11.1976255378,9.1803689105,-0.0098445659
1962-06-30,9.3510454845,11.1502678026,9.1884264129,0.0027616350
1962-09-30,9.3551394256,11.1600868014,9.1890635468,0.0042057374
1962-12-31,9.3652265409,11.1985147196,9.1925674352,0.0031130157
1963-03-31,9.3688516496,11.2067290201,9.1991173853,-0.0002984348
1963-06-30,9.3750235375,11.2176671905,9.2053969559,-0.0015400299
1963-09-30,9.3846881241,11.2253811769,9.2122398144,0.0009623816
1963-12-31,9.3891767308,11.2149146684,9.2232137671,-0.0010589681
1964-03-31,9.4055091881,11.2255073886,9.2405388612,-0.0009125693
1964-06-30,9.4198636783,11.2399920068,9.2633750689,-0.0080067401
1964-09-30,9.4345138174,11.2504320435,9.2737497468,-0.0039418676
1964-12-31,9.4338237337,11.2602132428,9.2808561955,-0.0124556986
1965-03-31,9.4531876449,11.2699828405,9.2897830634,-0.0023712254
1965-06-30,9.4613911456,11.2629832924,9.2964863764,0.0019878291
1965-09-30,9.4751017127,11.2842913200,9.3227207589,-0.0099590803
1965-12-31,9.4995839164,11.3067561450,9.3406434987,-0.0047284959
1966-03-31,9.5117556852,11.2979151308,9.3433702206,0.0071854526
1966-06-30,9.5116651833,11.3002020006,9.3515354256,0.0000560508
1966-09-30,9.5199562286,11.2791386610,9.3653151122,0.0018986050
1966-12-31,9.5210853231,11.2992968199,9.3770158462,-0.0107372762
1967-03-31,9.5243468744,11.3290407977,9.3888367724,-0.0234256432
1967-06-30,9.5354904491,11.3366250038,9.3953298801,-0.0191358031
1967-09-30,9.5378107297,11.3527272827,9.4023010894,-0.0259082452
1967-12-31,9.5410606950,11.3621888489,9.4125117350,-0.0328989510
1968-03-31,9.5626305065,11.3560553526,9.4288888867,-0.0231113698
1968-06-30,9.5754630369,11.3862012077,9.4448418451,-0.0296262239
1968-09-30,9.5913157706,11.3919090995,9.4466588391,-0.0164726639
1968-12-31,9.5931582734,11.4258091325,9.4535869720,-0.0275663503
1969-03-31,9.6021235632,11.4185977190,9.4540394674,-0.0173922222
1969-06-30,9.6062470391,11.4061160979,9.4624119446,-0.0172557558
1969-09-30,9.6083035026,11.3977221552,9.4816485149,-0.0287794845
1969-12-31,9.6133142402,11.3874331832,9.4876742680,-0.0263537082
